UserID,ProductID,ReviewDate,Review,StarsAssigned
j856q9H6IEqNglZ1MGG6tg,3,2/2/2021,"It’s the best post-apocalyptic CRPG I’ve played since Fallout: New Vegas, and one of the better RPGs I’ve played in a while.",5
7vCM1dv4UUiIsz4KZuK2Dw,5,20/3/2020,"Soulful, technically proficient and at times almost tearfully beautiful.",5
7vCM1dv4UUiIsz4KZuK2Dw,9,20/3/2020,Enderal is a deeply satisfying game that is as masterful as it is impressive.,5
c699peTGR0K6T0PqwQ8Kzw,11,9/9/2020,The perfect game to end the saga. The mainstory is pretty straight forward and not too stretched out.,4
c699peTGR0K6T0PqwQ8Kzw,8,18/12/2020,"Cartel Tycoon is an Early Access game, but even so, it's sleek and visually polished.",5
j856q9H6IEqNglZ1MGG6tg,18,18/12/2020,The gameplay of It Takes Two fares better than its writing. We need a break from this divorce game.,1
2z8LG1zIwk-jciPpqlOXIw,10,10/1/2021,If you have ever liked tower defense games this is for you.,4
2z8LG1zIwk-jciPpqlOXIw,12,10/1/2021,"Forza Horizon 4 is remarkable game. It's a racer for everybody, but with enough depth and difficulty to satisfy experienced gamers.",4
7vCM1dv4UUiIsz4KZuK2Dw,14,10/1/2021,This game made me cry.,2
2z8LG1zIwk-jciPpqlOXIw,20,20/1/2021,"Capturing exactly what makes the genre tick, this is perhaps the best looter-shooter game since Borderlands.",5
